layers,atempt,train_loss,validation_loss,validation_test,generalisation_x2,generalisation_x4
3,0,"[3.2870058915615084, 3.1465248210430143, 3.094019067525864, 3.0819023735523223, 3.0747970640659332, 3.0687980008125306, 3.0644133524894714, 3.0620718109607696, 3.0492374393939974, 3.04181241607666, 3.036678603172302, 3.0331192035675048, 3.0308811495304107, 3.0276220438480377, 3.024286080121994, 3.0221819839477537, 3.012671110868454, 2.998778522491455, 2.990001624584198, 2.9850794372558593, 2.980481392145157, 2.963106418609619, 2.943048690319061, 2.939446970701218, 2.935590826034546, 2.930164261817932, 2.927130749940872, 2.9241615149974822, 2.9216048922538755, 2.9211692667007445, 2.918026109457016, 2.915392775297165, 2.9135295495986937, 2.9119802942276003, 2.9103003714084625, 2.90693616771698, 2.905132444858551, 2.9022546768188477, 2.897557194948196, 2.8935982694625855, 2.8906479003429415, 2.8879496681690218, 2.885987020730972, 2.8836881465911866, 2.8819586205482484, 2.8814261536598207, 2.8800975954532624, 2.878516438484192, 2.875725915193558, 2.8749787273406984, 2.8736906213760376, 2.8725022435188294, 2.871807657003403, 2.8698394284248354, 2.8688579437732695, 2.868189414739609, 2.8671682674884797, 2.8659014451503753, 2.865086609840393, 2.8636010715961455, 2.8625648205280303, 2.8615013825893403, 2.860470781803131, 2.8588044924736025, 2.8580235617160796, 2.857459848165512, 2.8562961797714235, 2.854655737876892, 2.854819137096405, 2.8538445246219637, 2.852199245946476]",2.853013430242271,"(0.992, 0.989, 0.23)","(0.064, 0.063, 0.0)","(0.085, 0.078, 0.0)"
3,1,"[3.285404619693756, 3.1270747010707853, 3.0965699706077574, 3.084810417175293, 3.079155492067337, 3.0762913076877596, 3.070132092475891, 3.069046653985977, 3.067985369682312, 3.067306669473648, 3.065350903749466, 3.0640732402801514, 3.063674366950989, 3.062410522222519, 3.062176181793213, 3.0615208988189697, 3.060281129837036, 3.0604859273433687, 3.060318268537521, 3.0617184686660766, 3.060487797498703, 3.059291463851929, 3.0596531624794006, 3.0593014516830443, 3.05832417178154, 3.0582007722854616, 3.05719629240036, 3.055308271408081, 3.0491510660648347, 3.0385438871383665, 3.0332287950515746, 3.027603685617447, 3.021911378622055, 3.017387054681778, 3.014995037794113, 2.9971769597530367, 2.98000562787056, 2.975897094011307, 2.9734156260490416, 2.9702480301856995, 2.9669025473594663, 2.9637756717205046, 2.960800225019455, 2.95366398191452, 2.948015060663223, 2.9463170149326325, 2.9443968365192412, 2.9424383249282835, 2.9391569797992707, 2.9383666763305665, 2.9364700417518614, 2.9299633135795595, 2.92242702126503, 2.918849275827408, 2.916454433441162, 2.914115961551666, 2.9128031780719756, 2.910895305156708, 2.908528010368347, 2.9075967016220092, 2.9066608772277833, 2.9054364471435545, 2.9039476308822634, 2.9026225712299345, 2.9023394410610197, 2.901257495880127, 2.900376643419266, 2.8760435349941256, 2.8613607413768767, 2.858663650512695, 2.8571252906665254]",2.855753434508463,"(0.967, 0.952, 0.285)","(0.021, 0.02, 0.001)","(0.032, 0.031, 0.0)"
3,2,"[3.2108137862682344, 3.134098567724228, 3.0923581120967865, 3.0820018079280853, 3.074788603782654, 3.0696128370761873, 3.0561137993335725, 3.0431735284328463, 3.035596839427948, 3.032820034980774, 3.029675060749054, 3.025666502714157, 3.0237940406799315, 3.0221619076728823, 3.021186257123947, 3.0204393281936643, 3.018227437257767, 3.016604688167572, 3.0160013365745546, 3.016520971775055, 3.0145270459651945, 3.013715905666351, 3.012275391101837, 3.0121877641677854, 3.0104100096225737, 3.009393043756485, 3.007828221321106, 3.0061376135349276, 3.002438112974167, 3.00081138253212, 2.9907446644306184, 2.978156774997711, 2.9725139944553374, 2.9694889430999756, 2.9673404083251955, 2.9344991660118103, 2.9307787115573882, 2.9283006088733674, 2.926818253993988, 2.9232294096946716, 2.9213851432800295, 2.919180390357971, 2.916082254886627, 2.9139848294258117, 2.9115213305950163, 2.910331836938858, 2.9085242342948914, 2.9025589904785156, 2.8984759707450864, 2.8959630308151243, 2.89464329123497, 2.8922150683403016, 2.8924171316623686, 2.8887857172489166, 2.8876263868808745, 2.886679661035538, 2.8855121233463286, 2.883883608341217, 2.882603605031967, 2.881303784608841, 2.881110210418701, 2.880320089817047, 2.8795225262641906, 2.877336347103119, 2.87647724032402, 2.8751189382076263, 2.8748366258144378, 2.8726124856472017, 2.8722151093482973, 2.871592400074005, 2.8698909823506025]",2.8706970748562033,"(0.981, 0.979, 0.223)","(0.062, 0.062, 0.003)","(0.011, 0.01, 0.0)"
3,3,"[3.230138824224472, 3.1314127261638642, 3.095005888223648, 3.0808545048236846, 3.07518159866333, 3.060826135635376, 3.046073113441467, 3.043209138393402, 3.036818695306778, 3.032728164196014, 3.0304999482631683, 3.028682558298111, 3.026814326286316, 3.0237025573253633, 3.0208679049015044, 3.018963829755783, 3.015434476852417, 3.0113364953994752, 3.006393877744675, 2.994784741163254, 2.986925083875656, 2.953917043924332, 2.9461579699516296, 2.943410781621933, 2.9414761648178103, 2.9394135236740113, 2.9361235959529877, 2.9333146011829374, 2.929750283956528, 2.928026222705841, 2.922569232225418, 2.9190268769264223, 2.91450426530838, 2.911538835287094, 2.908212107419968, 2.903860829114914, 2.901054255962372, 2.89924002122879, 2.8977030818462373, 2.8940845255851744, 2.892369823932648, 2.890799373149872, 2.8863631246089936, 2.8813596041202545, 2.8787432260513306, 2.876746485710144, 2.8752485857009886, 2.8730928919315337, 2.8708770806789397, 2.8697569177150726, 2.868335480451584, 2.8659580130577087, 2.8643805701732634, 2.8627884149551392, 2.8610856194496153, 2.859996948719025, 2.858141713142395, 2.8569137041568755, 2.855565272331238, 2.855048946619034, 2.8530602960586546, 2.852161103963852, 2.8513147876262663, 2.849661909818649, 2.849288386583328, 2.847900213718414, 2.8467831888198853, 2.8448745884895326, 2.844936666250229, 2.8432053616046904, 2.842219268932891]",2.8416434958087,"(0.971, 0.967, 0.252)","(0.021, 0.02, 0.0)","(0.035, 0.033, 0.0)"
3,4,"[3.248978874206543, 3.1257369034290314, 3.085233599662781, 3.0759878869056703, 3.07350829744339, 3.0729386014938354, 3.071523562669754, 3.069843506574631, 3.0630433328151705, 3.0482500586509707, 3.0368295261859894, 3.0316444213390352, 3.028187979221344, 3.01727432012558, 3.0112907202243804, 3.007212956905365, 3.0013603258132933, 2.9797589781284333, 2.9616917934417724, 2.9565911202430724, 2.9504418528079985, 2.946525780439377, 2.9433756380081175, 2.9409039924144746, 2.938785602092743, 2.9366795995235444, 2.9330521988868714, 2.93009139251709, 2.924537708044052, 2.9202016773223876, 2.9163322279453276, 2.9132749547958374, 2.910556403398514, 2.908678811788559, 2.9062537157535555, 2.9036266295909883, 2.9021106355190276, 2.900110065460205, 2.898273019075394, 2.894466228723526, 2.8927946133613585, 2.890835086107254, 2.8882276952266692, 2.885304351806641, 2.8818000264167787, 2.8778899397850037, 2.8759043488502503, 2.8743265423774718, 2.8716557190418244, 2.871226410150528, 2.870073353290558, 2.8683440635204316, 2.8677118203639984, 2.866261987447739, 2.8643555479049683, 2.864036593437195, 2.861722199201584, 2.8595758917331695, 2.8575703587532044, 2.857099528551102, 2.85603194975853, 2.854618406534195, 2.8544128930568693, 2.8527571852207183, 2.8517923510074614, 2.8510741505622863, 2.850167822599411, 2.848844131231308, 2.848860448360443, 2.847855527162552, 2.847891703962137]",2.847442571140047,"(0.99, 0.986, 0.262)","(0.036, 0.034, 0.0)","(0.023, 0.022, 0.0)"
4,0,"[3.228289265394211, 3.113975925922394, 3.0942489466667173, 3.081537078857422, 3.0745594592094423, 3.06842156457901, 3.066058339357376, 3.065935165643692, 3.0618237960338592, 3.0608943822383883, 3.0594972875118254, 3.0604769735336306, 3.058500764131546, 3.058751984357834, 3.0590242409706114, 3.060356962442398, 3.05898042678833, 3.0566173243522643, 3.0564465215206145, 3.057390107154846, 3.05590331864357, 3.055013519048691, 3.0539528403282166, 3.0541371591091155, 3.0544407906532287, 3.053994030952454, 3.0458158569335936, 3.0352034091949465, 3.0321833868026733, 3.032529092788696, 3.0292949492931367, 3.0286584355831145, 3.0269688441753386, 3.026123735189438, 3.026619448184967, 3.025054874897003, 3.0251244163513182, 3.0249250028133394, 3.025276344537735, 3.023157734632492, 3.0235588846206665, 3.0217742998600006, 3.022257054567337, 3.02211611199379, 3.0242921328544616, 3.0226043148040773, 3.0223786420822143, 3.0213443117141723, 3.020495719432831, 3.0212286455631254, 3.020439689874649, 3.020394819021225, 3.0205839388370515, 3.0196577508449556, 3.021215053796768, 3.019600634098053, 3.0190998673439027, 3.0197242028713225, 3.019082084417343, 3.018057631969452, 3.0187713294029237, 3.0184584770202636, 3.018262276649475, 3.017739008426666, 3.0180355710983275, 3.0179929337501528, 3.0194178459644316, 3.0176296100616455, 3.0168778359889985, 3.0110379779338836, 3.008756546166758]",3.0099831300616096,"(0.998, 0.987, 0.039)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
4,1,"[3.2132110340595244, 3.10660803437233, 3.090318771600723, 3.0835405955314634, 3.0673065178394316, 3.0600049896240233, 3.0560636961460115, 3.053456378698349, 3.051367382287979, 3.0512440807819368, 3.0474637687206267, 3.039930609226227, 3.03300648522377, 3.0291861689090727, 3.026755965471268, 3.0246331119537353, 3.0210654196739197, 3.0126984605789184, 3.0084275615215303, 3.005161652803421, 3.0003414576053618, 2.9878788583278655, 2.9768652992248534, 2.9717424075603485, 2.9690736815929415, 2.9661492402553558, 2.9634408173561098, 2.9414519979953764, 2.9260994732379912, 2.925064861536026, 2.9222972459793093, 2.9199811248779297, 2.9170134479999543, 2.91452756357193, 2.911162137746811, 2.907620387554169, 2.9051262125968935, 2.9017167315483094, 2.90024014043808, 2.8970442678928374, 2.8951209318637847, 2.892794224023819, 2.890689637184143, 2.888480666399002, 2.8812166819572447, 2.8766518707275393, 2.873305396795273, 2.871569878101349, 2.868697639465332, 2.867343331575394, 2.86582616853714, 2.863647311449051, 2.86385146188736, 2.860631676197052, 2.858993048667908, 2.8571067538261414, 2.8530077891349794, 2.8514048120975493, 2.850384097337723, 2.84850594830513, 2.847291956424713, 2.8452348294258116, 2.8450327394008634, 2.8432765414714813, 2.841597092151642, 2.8389852147102355, 2.837019842147827, 2.835652847290039, 2.8341818079948427, 2.832575018644333, 2.831652428014591]",2.8302018890212413,"(0.992, 0.987, 0.316)","(0.05, 0.05, 0.001)","(0.06, 0.059, 0.0)"
4,2,"[3.2551454417705536, 3.1497421996593475, 3.072307655096054, 3.0602831103801726, 3.054245569705963, 3.0458407623767854, 3.0427780730724336, 3.0423537957668305, 3.0405885934829713, 3.036130400419235, 3.032500610589981, 3.031579435825348, 3.0306322212219237, 3.0273859283924103, 3.026873639822006, 3.0266517322063446, 3.023617788553238, 3.0216883296966555, 3.021613456964493, 3.0202881145477294, 3.0186688022613524, 3.016540671348572, 3.0156599810123446, 3.013803171157837, 3.013321679353714, 3.01386120557785, 3.013379046201706, 3.0110547926425935, 3.01177299118042, 3.009799084186554, 3.010117030620575, 3.008358125448227, 3.0079345564842224, 3.0075415563583374, 3.007773875236511, 3.0068668818473814, 3.0067607531547544, 3.0061553559303285, 3.006175449132919, 3.0046976244449617, 3.0057293932437896, 3.0049522609710695, 3.0043088579177857, 3.005660359382629, 3.0036054446697236, 3.004163169622421, 3.0042000637054445, 3.00379785490036, 3.0044822340011597, 3.0040059146881104, 3.003556788444519, 3.0022334871292116, 3.002926459789276, 3.0016932606697084, 3.002087332725525, 3.0015069921016693, 3.0015028376579282, 3.0010409009456636, 3.0008795700073243, 3.0003167061805724, 3.000847866773605, 3.0007341759204866, 2.9998935782909393, 2.9991458156108854, 3.000297857284546, 2.9982416779994963, 2.999411549091339, 2.9984841876029966, 2.9981622133255006, 2.998104418754578, 2.9964344608136257]",2.9979462470712908,"(0.99, 0.976, 0.049)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
4,3,"[3.2440802471637724, 3.109738878965378, 3.088800236463547, 3.0798722465038297, 3.0731162550449374, 3.070605253458023, 3.066341828584671, 3.0632001206874846, 3.06207758975029, 3.0617783551216124, 3.0598061316013334, 3.057532479286194, 3.05533567070961, 3.051483677148819, 3.0352131624221803, 3.0281569418907166, 3.0169906733036043, 3.0118065810203554, 3.0072459180355073, 2.9890334525108337, 2.967877504348755, 2.9620863473415375, 2.9565618371963502, 2.9513374586105345, 2.9486105246543883, 2.9449941968917845, 2.9410083825588225, 2.937555018901825, 2.935476808786392, 2.933815391540527, 2.9313747103214265, 2.929192804336548, 2.927272498846054, 2.9242950925827027, 2.9231576368808745, 2.920168476343155, 2.917872410297394, 2.91606271314621, 2.914222142457962, 2.9117529492378234, 2.9103807656764986, 2.9086515307426453, 2.906433023929596, 2.9044818477630616, 2.9019221923351286, 2.9018490161895754, 2.8994189171791076, 2.898057333469391, 2.889346866130829, 2.8864346277713775, 2.883924301624298, 2.8807742476463316, 2.879838082790375, 2.876618738889694, 2.875967559814453, 2.8744808263778685, 2.8712871549129484, 2.8699768767356875, 2.868708428144455, 2.8676986610889434, 2.866650095939636, 2.8647976338863375, 2.864289184331894, 2.8631411378383635, 2.862601188182831, 2.8601365416049958, 2.8603752818107604, 2.858235023498535, 2.856645713329315, 2.8563518517017363, 2.854385822344893]",2.8543666711495015,"(0.984, 0.981, 0.202)","(0.026, 0.023, 0.0)","(0.029, 0.027, 0.0)"
4,4,"[3.393747195005417, 3.2039936094284056, 3.1458056247234345, 3.1145509016513824, 3.0879083812236785, 3.080829750776291, 3.0740389444828033, 3.070619172334671, 3.066594979763031, 3.0646289269924165, 3.061177319288254, 3.0596668059825896, 3.0583639454841616, 3.0573671000003815, 3.057322951555252, 3.0580651602745057, 3.0566168792247774, 3.0559610068798064, 3.0553414883613588, 3.055866263151169, 3.055039799451828, 3.0537083973884585, 3.052328653335571, 3.0526147902011873, 3.0521031267642975, 3.0515189321041105, 3.0519171407222747, 3.0503155472278594, 3.049055321455002, 3.0487380137443543, 3.048754457950592, 3.048793231010437, 3.0475206201076506, 3.046962875843048, 3.0473789498806, 3.0463322644233704, 3.0474128534793854, 3.0460091524124144, 3.04599494099617, 3.0443912930488586, 3.0445005123615263, 3.0435356941223146, 3.042471655845642, 3.043196257352829, 3.042082605600357, 3.0431778786182404, 3.0421734414100645, 3.0407490541934967, 3.040486391067505, 3.040404088258743, 3.0400534081459045, 3.0386379084587096, 3.0396124267578126, 3.0359185838699343, 3.0347469620704652, 3.0330147972106936, 3.0319890666007994, 3.0306379549503326, 3.0283656919002535, 3.026991667985916, 3.0245606410503387, 3.0126773698329927, 3.0044666044712067, 3.0027687478065492, 2.9990098683834074, 2.995205515384674, 2.991763646364212, 2.9882582099437713, 2.987563505887985, 2.9852246768474577, 2.983155945238595]",2.9837294025242933,"(0.996, 0.986, 0.07)","(0.061, 0.053, 0.0)","(0.171, 0.164, 0.0)"
5,0,"[3.2151254601478576, 3.1223533215522767, 3.1047139961719514, 3.1008847854137422, 3.0985512897968293, 3.09500488448143, 3.0882783691883087, 3.085798345088959, 3.083634720802307, 3.0815400726795197, 3.0773577382564543, 3.076342459440231, 3.0743260447978975, 3.071931808710098, 3.0721206111907957, 3.0712781071662905, 3.0701120047569277, 3.0702237765789033, 3.0699764897823334, 3.0706488008499147, 3.070038998603821, 3.0699436738491057, 3.069259243488312, 3.0698995163440705, 3.0696751680374144, 3.0698151960372924, 3.070048459291458, 3.069538659334183, 3.0702641179561616, 3.068745100736618, 3.0682953696250914, 3.0682892932891845, 3.0568647661209107, 3.0515091235637666, 3.049057075023651, 3.045906724691391, 3.045832294464111, 3.0452745380401613, 3.0447860198020935, 3.0435696351528168, 3.0437645235061646, 3.0423963034152983, 3.0419273567199707, 3.0413847386837007, 3.034521878004074, 3.03168088054657, 3.0308011474609375, 3.028547652244568, 3.027731915950775, 3.027594920158386, 3.0259965765476227, 3.0160074265003205, 3.0139438858032226, 3.0118613243103027, 3.011808819770813, 3.0109716432094573, 3.009726032495499, 3.0097160692214966, 3.010409370422363, 3.0073154265880584, 3.0082949221134188, 3.0062857477664946, 3.0068294525146486, 3.006039571762085, 3.0058311491012573, 3.004490926980972, 3.0059366264343264, 3.003713100194931, 3.0040489583015444, 3.004730124235153, 3.0038299423437147]",3.002935892272572,"(0.994, 0.984, 0.035)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
5,1,"[3.211886996984482, 3.1221888077259066, 3.105617965936661, 3.100959596633911, 3.0972351880073545, 3.0963858399391175, 3.0939209394454954, 3.0911973044872285, 3.0867633965015413, 3.0846088180541993, 3.078923567771912, 3.0760678043365477, 3.073154752731323, 3.071864870786667, 3.0718601415157316, 3.0716905303001405, 3.0706425211429598, 3.0707623353004454, 3.0705160264968874, 3.0714366850852968, 3.0703525245189667, 3.070708483695984, 3.0696530179977417, 3.069805273771286, 3.0702948553562166, 3.070053282737732, 3.070228508234024, 3.0692634029388426, 3.071069676876068, 3.0689023928642274, 3.069618092775345, 3.0700235188007357, 3.0689259598255156, 3.06804917883873, 3.0690117449760437, 3.067806421995163, 3.0688183801174165, 3.0679593811035155, 3.0688330204486847, 3.0687331705093386, 3.068811863183975, 3.067725076913834, 3.0680966703891754, 3.067310516834259, 3.0671258533000945, 3.0677343475818635, 3.068659747838974, 3.0681039929389953, 3.0673408420085906, 3.068606984615326, 3.0674483761787417, 3.0690489370822904, 3.06697234582901, 3.0661092517375947, 3.0666160933971405, 3.065929402112961, 3.0650774145126345, 3.0643958430290223, 3.063426593542099, 3.0611968071460725, 3.0623093929290772, 3.0622946939468383, 3.0615781490802765, 3.060787631034851, 3.061182101726532, 3.060191462755203, 3.0608692903518677, 3.0607752454280854, 3.0605791697502136, 3.060960077285767, 3.058779841413894]",3.059389900706511,"(0.997, 0.987, 0.013)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
5,2,"[3.505469410419464, 3.438870722055435, 3.2833465197086333, 3.2813325192928313, 3.245317011833191, 3.19895281624794, 3.1818875889778138, 3.1816216356754303, 3.1847668433189393, 3.1847693791389466, 3.1834835181236265, 3.184461759567261, 3.1855798354148863, 3.1834039483070375, 3.1832424778938293, 3.183754733800888, 3.1834161722660066, 3.1834746415615083, 3.1831905739307405, 3.183800579071045, 3.183658213853836, 3.1836482129096986, 3.183684417486191, 3.1835339143276213, 3.183730681180954, 3.1837445642948152, 3.1940060284137726, 3.1882727572917937, 3.1872777836322785, 3.1925220437049866, 3.1923755950927735, 3.1926464071273806, 3.1925629024505615, 3.192544757604599, 3.1923676524162294, 3.192102426290512, 3.192333119869232, 3.1928062925338745, 3.1857073843479156, 3.183490094423294, 3.183918750524521, 3.1833160276412964, 3.1832217075824736, 3.1830099477767946, 3.182841941833496, 3.183558030605316, 3.1872367625236513, 3.1918038737773897, 3.1917698130607604, 3.1920759088993074, 3.192680508375168, 3.192188403367996, 3.1925413262844087, 3.19142826795578, 3.19233353805542, 3.1918400688171387, 3.191991358041763, 3.191916147232056, 3.1916151072978973, 3.191531257867813, 3.1978223414421083, 3.2010740690231323, 3.2009840128421785, 3.20082461810112, 3.201030281305313, 3.2008370344638823, 3.201523721933365, 3.2012859642505647, 3.2013138556480407, 3.201354764223099, 3.20144533044614]",3.200956142499507,"(0.999, 0.019, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
5,3,"[3.3330952916145327, 3.260626951932907, 3.2158873591423034, 3.1848734776973724, 3.1842979950904846, 3.1882881643772127, 3.1892984340190886, 3.1892803778648378, 3.1933455963134767, 3.193579016685486, 3.1912072043418886, 3.1896679899692537, 3.1915480659008026, 3.1901199069023134, 3.1900307462215425, 3.1941247298717497, 3.1913986058235166, 3.189294765949249, 3.1894969074726105, 3.1988049881458283, 3.200843817472458, 3.1893877952098846, 3.190140125513077, 3.1922817800045014, 3.1898243458271027, 3.193305364847183, 3.1891655662059786, 3.187736026287079, 3.1879703295230866, 3.1873729696273805, 3.1870294950008393, 3.1873488454818726, 3.1871036598682405, 3.187008833885193, 3.1873229353427885, 3.188941065311432, 3.192359832048416, 3.194900406360626, 3.199536534309387, 3.1905074138641356, 3.1890986449718475, 3.1876324832439424, 3.1878195345401763, 3.1866150808334353, 3.1864899682998655, 3.187309403896332, 3.1875784926414488, 3.187212119579315, 3.187576068639755, 3.191976761341095, 3.1920978600978853, 3.1916965713500978, 3.192614179849625, 3.1906340827941895, 3.1896327137947083, 3.1890234129428863, 3.189134507894516, 3.1892390282154084, 3.188828842163086, 3.188413524866104, 3.1876655104160307, 3.1875980162620543, 3.1870368280410766, 3.187342591524124, 3.197489143848419, 3.202179733514786, 3.2027607119083403, 3.202480584383011, 3.2025733335018156, 3.20053631567955, 3.190616477411776]",3.1921092586268327,"(0.964, 0.013, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
5,4,"[3.3367701215744017, 3.166842313528061, 3.1441338698863985, 3.12848881149292, 3.109719519138336, 3.1063531355857847, 3.102118421316147, 3.0966852483749387, 3.09182279753685, 3.089652393102646, 3.085882818698883, 3.084329164981842, 3.081656414270401, 3.0797322399616243, 3.07763982129097, 3.076489801645279, 3.0734632403850557, 3.0727038826942445, 3.071959273338318, 3.072631808042526, 3.0717255532741548, 3.0711182787418365, 3.070469587087631, 3.0705342650413514, 3.0704363975524904, 3.070301520109177, 3.0702113499641417, 3.0691963851451876, 3.069491592645645, 3.0688106327056883, 3.068593377351761, 3.0590525784492493, 3.0547809453010557, 3.0526111335754393, 3.0529240968227387, 3.0505337266922, 3.049797066450119, 3.047619292020798, 3.0487663090229034, 3.0450189061164856, 3.0444938333034517, 3.043772643327713, 3.04369881606102, 3.0431692810058593, 3.0414475195407866, 3.041950536727905, 3.041680101633072, 3.040849366903305, 3.039762456178665, 3.0402110049724578, 3.0377481610774995, 3.0352867205142973, 3.0317154817581176, 3.029523997545242, 3.0279627051353453, 3.0255389156341552, 3.022330286502838, 3.019550538301468, 3.0178075284957884, 3.014818478345871, 3.0138603508472444, 3.0118830831050873, 3.010326162815094, 3.0085661442279816, 3.0103396973609926, 3.0080032505989074, 3.008075041770935, 3.0067780838012697, 3.0062974066734314, 3.0062040395736696, 3.0053558441015857]",3.004580832131919,"(0.985, 0.957, 0.035)","(0.005, 0.0, 0.0)","(0.0, 0.0, 0.0)"
6,0,"[3.3183508081436157, 3.230990314245224, 3.2186011028289796, 3.172499159812927, 3.1753220837116243, 3.1729452261924744, 3.174751357078552, 3.178404980421066, 3.1838613741397856, 3.1847428910732267, 3.183472923755646, 3.18603940820694, 3.198096924066544, 3.196911830663681, 3.1982448773384093, 3.198304667711258, 3.1907644951343537, 3.183182323694229, 3.1831941092014313, 3.1838054666519167, 3.183660922050476, 3.1844925014972687, 3.1833668191432953, 3.1835370373725893, 3.1847085778713224, 3.183922330856323, 3.184039618730545, 3.1834896485805513, 3.1834157750606535, 3.1834202904701234, 3.183219771385193, 3.1835435762405395, 3.185847828865051, 3.1925968198776244, 3.193686600923538, 3.193331923007965, 3.1948518605232237, 3.196100495815277, 3.1881406700611112, 3.1858147559165952, 3.1928923239707947, 3.191853848695755, 3.1922281129360197, 3.192437878847122, 3.194283258676529, 3.192460050582886, 3.1924618773460387, 3.1929314041137697, 3.192530385494232, 3.192741089582443, 3.1929313962459562, 3.192662506341934, 3.192504026174545, 3.1923657047748564, 3.1926255116462707, 3.192419362306595, 3.192285741567612, 3.197269145011902, 3.234239820480347, 3.2436300568580627, 3.2443915646076205, 3.244127848863602, 3.2437806808948517, 3.243480753660202, 3.243913878440857, 3.24349357008934, 3.2446720435619354, 3.244185310840607, 3.244229424715042, 3.244255558490753, 3.2166179856553243]",3.1933803248616015,"(1.0, 0.004, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
6,1,"[3.268073745012283, 3.1515846304893493, 3.134807370901108, 3.110635567188263, 3.1041012620925903, 3.1008597595691683, 3.0982558517456056, 3.0953870255947113, 3.092300279855728, 3.091644061088562, 3.0878446006774904, 3.083091881752014, 3.0808593933582307, 3.079613001823425, 3.0781148254871367, 3.073773389339447, 3.0712434351444244, 3.070616657972336, 3.06981697511673, 3.070472639799118, 3.068888326406479, 3.06925492978096, 3.0686393105983734, 3.0686791303157808, 3.068570683479309, 3.0680088467597963, 3.0686895453929903, 3.068838679552078, 3.0676439979076386, 3.06745965385437, 3.0676794006824495, 3.068178765296936, 3.0672294619083407, 3.0668635377883913, 3.0683266925811767, 3.067583179473877, 3.067264792203903, 3.067573647260666, 3.0683059380054476, 3.0666373934745788, 3.0671598505973816, 3.0665213658809662, 3.0665499517917634, 3.066308481454849, 3.066900747537613, 3.067994107246399, 3.0672224686145784, 3.0667826721668243, 3.066879056453705, 3.0674443311691286, 3.0670760364532472, 3.0666083652973173, 3.0676391222476957, 3.0662368743419646, 3.066879029273987, 3.0672465176582335, 3.067457370042801, 3.0664937744140626, 3.0663653924465177, 3.065352424621582, 3.066690124988556, 3.0662374005317687, 3.0655246531963347, 3.0650256357192993, 3.065853869199753, 3.0654136788845063, 3.0661551549434662, 3.0664066240787506, 3.066079477548599, 3.066691136837006, 3.065132369629491]",3.065442869548195,"(0.996, 0.992, 0.019)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
6,2,"[3.2961320869922637, 3.1555903117656707, 3.1439654307365417, 3.1433203625679016, 3.144892066717148, 3.139668021917343, 3.1388430507183074, 3.138605362415314, 3.1393001039028166, 3.140958924293518, 3.1393628187179567, 3.1396599204540254, 3.141706658601761, 3.14388743019104, 3.138304280281067, 3.1430086257457734, 3.1424282653331757, 3.137328966856003, 3.1363718810081482, 3.1370108807086945, 3.1370421714782717, 3.1364735803604127, 3.1488876819610594, 3.1511897337436676, 3.1527467348575593, 3.151128210544586, 3.1409061572551726, 3.13709951543808, 3.1377915244102477, 3.137503831386566, 3.137209406375885, 3.1375554859638215, 3.13707834649086, 3.137764286518097, 3.1377895233631135, 3.136444146156311, 3.139482518196106, 3.1373070302009585, 3.138411968231201, 3.137504967212677, 3.138271168708801, 3.1424453880786896, 3.147889761209488, 3.1394346544742584, 3.142168693304062, 3.144770937204361, 3.141167901515961, 3.1398326275348665, 3.139186508655548, 3.1393054251670836, 3.13959267783165, 3.138944785118103, 3.141339298725128, 3.141137144804001, 3.144014161348343, 3.1410552542209627, 3.1392263107299803, 3.139209359884262, 3.139770427942276, 3.1415822894573213, 3.1407661986351014, 3.1398210804462434, 3.1395819838047028, 3.138697526216507, 3.1402357618808745, 3.140299998521805, 3.1449275970458985, 3.1447427937984465, 3.143512573957443, 3.1427047078609465, 3.1425719634412577]",3.1430119216999017,"(0.995, 0.956, 0.001)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
