lemma,part_of_speech,antonyms
anemophilous,adjective,entomophilous
anestrous,adjective,estrous
anglican,noun,Nonconformist
angry,adjective,unangry
angular,adjective,rounded
angulate,adjective,rounded
anhydrous,adjective,hydrous
animate,verb,deaden
animate,adjective,inanimate
animated,verb,deaden
animated,adjective,unanimated
animating,verb,deaden
anionic,adjective,cationic
anisotropic,adjective,isotropic
annual,adjective,biennial
anodal,adjective,cathodic
anodic,adjective,cathodic
anon.,adjective,onymous
anonymous,adjective,onymous
anorthic,adjective,monoclinic
antagonistic,adjective,conciliatory
antecedent,noun,descendant
antecedent,adjective,subsequent
antemeridian,adjective,postmeridian
antemortem,adjective,postmortem
antenatal,adjective,perinatal
antenuptial,adjective,postnuptial
antepartum,adjective,perinatal
anterior,adjective,posterior
anterograde,adjective,retrograde
anti,adjective,pro
anti-american,adjective,pro-American
anticholinergic,adjective,cholinergic
anticlimactic,adjective,climactic
anticlinal,adjective,synclinal
anticlockwise,adjective,clockwise
anticlockwise,adverb,clockwise
antimagnetic,adjective,magnetic
antipyretic,adjective,pyretic
antiseptic,adjective,septic
antonymous,adjective,synonymous
antrorse,adjective,retrorse
aperiodic,adjective,periodic
apetalous,adjective,petalous
aphrodisiac,adjective,anaphrodisiac
aphrodisiacal,adjective,anaphrodisiac
aplacental,adjective,placental
apocarpous,adjective,syncarpous
apocrine,adjective,eccrine
apologetic,adjective,unapologetic
appareled,verb,undress
appealable,adjective,unappealable
appealing,verb,repel
appealing,adjective,unappealing
appendaged,adjective,unappendaged
appetising,adjective,unappetizing
appetizing,adjective,unappetizing
applied,verb,defy
applied,adjective,theoretical
appointed,adjective,elective
appointive,adjective,elective
apposable,adjective,unopposable
appreciated,verb,depreciate
approachable,adjective,unapproachable
appropriate,adjective,inappropriate
approved,verb,disapprove
approving,noun,disapproval
approving,verb,disapprove
apropos,adjective,malapropos
apteral,adjective,peripteral
aquatic,adjective,terrestrial
aqueous,adjective,igneous
arbitrable,adjective,nonarbitrable
arbitrary,adjective,nonarbitrary
arboreal,adjective,nonarboreal
arboreous,adjective,nonarboreal
arenaceous,adjective,argillaceous
argillaceous,adjective,arenaceous
argumentative,adjective,unargumentative
armed,verb,disarm
armed,adjective,unarmed
armless,adjective,armed
armored,adjective,unarmored
armoured,adjective,unarmored
aroused,verb,fall asleep-energize-energise to sleep
arranged,verb,disarrange
arranged,adjective,disarranged
artesian,adjective,subartesian
artful,adjective,ingenuous
articulate,adjective,inarticulate
articulated,adjective,unarticulated
artificial,adjective,natural
artiodactyl,noun,odd-toed ungulate
artless,adjective,disingenuous
ascendant,noun,descendant
ascendent,noun,descendant
ascending,verb,descend
ascending,adjective,descending
asexual,adjective,sexual
ashamed,adjective,unashamed
asleep,adjective,awake
asserting,adjective,interrogative
assertive,adjective,unassertive
assigned,adjective,unassigned
assimilating,verb,dissimilate
assisted,adjective,unassisted
associate,verb,dissociate
associative,adjective,nonassociative
associatory,adjective,nonassociative
assured,verb,worry
assuring,verb,worry
astigmatic,adjective,anastigmatic
astomatous,adjective,stomatous
astringent,adjective,nonastringent
asymmetric,adjective,symmetrical
asymmetrical,adjective,symmetrical
asynchronous,adjective,synchronous
asyndetic,adjective,syndetic
atomic,adjective,conventional
atomistic,adjective,holistic
atomistical,adjective,holistic
atonal,adjective,tonal
atonic,adjective,tonic
atoxic,adjective,toxic
atrophied,adjective,hypertrophied
attachable,adjective,detachable
attached,verb,detach
attached,adjective,detached
attacking,verb,defend
attended,verb,miss
attended,adjective,unaccompanied
attentive,adjective,inattentive
attired,verb,underdress down
attractive,adjective,unattractive
attributable,adjective,unattributable
attributive,adjective,predicative
atypical,adjective,typical
audible,adjective,inaudible
auspicious,adjective,inauspicious
authorised,adjective,unauthorized
authorized,adjective,unauthorized
autochthonous,adjective,allochthonous
autoecious,adjective,heteroecious
autogamic,adjective,endogamous
autogamous,adjective,endogamous
autogenic,adjective,heterogenous
autogenous,adjective,heterogenous
autologous,adjective,homologous
automatic,adjective,manual
autophytic,adjective,heterotrophic
autotrophic,adjective,heterotrophic
autumnal,adjective,wintry
available,adjective,unavailable
avascular,adjective,vascular
avenged,adjective,unavenged
avertable,adjective,inevitable
avertible,adjective,inevitable
avirulent,adjective,virulent
avoidable,adjective,inevitable
avowed,verb,disavow
awake,verb,fall asleep
awake,adjective,asleep
awakened,verb,cause to sleep asleep
awakened,adjective,unawakened
aware,adjective,unaware
away,adjective,home
awed,adjective,unawed
awestricken,adjective,unawed
awestruck,adjective,unawed
awful,adjective,nice
awkward,adjective,graceful
awned,adjective,awnless
awnless,adjective,awned
awny,adjective,awnless
azonal,adjective,zonal
back,noun,front
back,verb,advance
back,adjective,front
back,adverb,forward
backed,verb,advance
backed,adjective,backless
backhand,adjective,forehand
backhanded,adjective,forehand
backless,adjective,backed
backward,adjective,forward
backward,adverb,forward
bad,noun,good
bad,adjective,good
balanced,verb,unbalance
balanced,adjective,unbalanced
balconied,adjective,unbalconied
banded,adjective,unbanded
baptised,adjective,unbaptized
baptized,adjective,unbaptized
bare,adjective,sheathed
bared,verb,unbar
barred,verb,unbar
barreled,adjective,unbarreled
barrelled,adjective,unbarreled
basal,adjective,cauline
basic,adjective,incidental
basipetal,adjective,acropetal
basiscopic,adjective,acroscopic
beaked,adjective,beakless
beakless,adjective,beaked
bearing,adjective,nonbearing
beautiful,adjective,ugly
bedded,verb,get up out
bedded,adjective,unstratified
bedless,adjective,bedded
beginning,noun,ending
beginning,verb,end
begrimed,verb,clean
believable,adjective,incredible
belittled,verb,flatter
belittling,verb,flatter
bellied,adjective,bellyless
bellyless,adjective,bellied
below the belt,adverb,fairly
belted,verb,unbelt
belted,adjective,unbelted
beltless,adjective,belted
bended,verb,straighten
beneficed,adjective,unbeneficed
beneficent,adjective,maleficent
benign,adjective,malignant
benignant,adjective,malign
bent,verb,straighten
beseeching,adjective,imperative
best,noun,worst
best,adjective,worst
best,adverb,ill
better,verb,worsen
better,adjective,worse
better,adverb,ill
bettering,verb,worsen
bettering,adjective,worsening
biaural,adjective,monaural
bibbed,adjective,bibless
bibless,adjective,bibbed
bicameral,adjective,unicameral
bidirectional,adjective,unidirectional
biennial,adjective,perennial
big,adjective,small
big,adverb,small
bigger,adjective,small
bilaterally symmetrical,adjective,actinomorphic
bimodal,adjective,unimodal
binaural,adjective,monaural
binding,verb,unbind
binuclear,adjective,trinucleate
binucleate,adjective,trinucleate
binucleated,adjective,trinucleate
biological,adjective,adoptive
biovular,adjective,identical
biped,adjective,quadrupedal
bipedal,adjective,quadrupedal
bipolar,adjective,unipolar
bisexual,adjective,heterosexual
bivalent,adjective,multivalent
bivalve,adjective,univalve
bivalved,adjective,univalve
black,noun,white
black,verb,whiten
black,adjective,white
black-and-white,adjective,color
black and white,adjective,color
blackened,verb,whiten
blame,verb,absolve
blamed,verb,absolve
blear,verb,focus
blemished,adjective,unblemished
blended,adjective,unblended
blessed,verb,curse
blessed,adjective,cursed
blest,verb,curse
blest,adjective,cursed
blind,adjective,sighted
blocked,verb,unstuff
blond,adjective,brunet
blonde,adjective,brunet
bloodless,adjective,bloody
bloody,adjective,bloodless
blown,verb,conserve
blue-collar,adjective,white-collar
blunt,verb,sharpen
blunted,verb,sharpen
blurred,verb,focus
bodied,adjective,unbodied
boiled,verb,freeze
bold,adjective,timid
boneless,adjective,bony
boney,adjective,boneless
bony,adjective,boneless
bordered,adjective,unbordered
bored,verb,interest
boring,verb,interest
born,adjective,unborn
bottle-fed,adjective,breast-fed
bottom,noun,top
bottom,adjective,side
bottom-up,adjective,top-down
bottomed,adjective,bottomless
bottomless,adjective,bottomed
bouncing,verb,clear
bound,verb,unbind
bound,adjective,unbound
bowed,adjective,plucked
boxed,verb,unbox
braced,verb,sedate-energize-energise
brachycephalic,adjective,dolichocephalic
brachycranial,adjective,dolichocephalic
brachycranic,adjective,dolichocephalic
bracing,verb,sedate-energize-energise
bracteate,adjective,ebracteate
bracted,adjective,ebracteate
braided,verb,unbraid
brainwashed,adjective,unbrainwashed
branchiate,adjective,abranchiate
branchless,adjective,branchy
branchy,adjective,branchless
branded,adjective,unbranded
brave,noun,timid
brave,adjective,cowardly
breakable,adjective,unbreakable
breast-fed,adjective,bottle-fed
breasted,adjective,breastless
breastless,adjective,breasted
breathing,adjective,breathless
breathless,adjective,breathing
bridgeable,adjective,unbridgeable
bright,adjective,dull
broad,adjective,narrow
broad-minded,adjective,shockable-minded
broadnosed,adjective,catarrhine
broke,verb,repair to
broken,verb,repair to
broken,adjective,unbroken
brotherlike,adjective,sisterly
brotherly,adjective,sisterly
brunet,adjective,blond
brunette,adjective,blond
bulging,adjective,concave
bumpy,adjective,smooth
burdened,verb,unburden
burdened,adjective,unburdened
buried,verb,remember
buried,adjective,unburied
bust,verb,repair
busted,verb,repair
busy,adjective,idle
buttoned,verb,unbutton
buttoned,adjective,unbuttoned
cacogenic,adjective,eugenic
cacophonic,adjective,euphonious
cacophonous,adjective,euphonious
caducous,adjective,persistent
calced,adjective,discalced
calcicolous,adjective,calcifugous
calcifugous,adjective,calcicolous
calculable,adjective,incalculable
calm,noun,discomposure
calm,verb,agitate
calm,adjective,stormy
caloric,adjective,nonthermal
camphorated,adjective,uncamphorated
campylotropous,adjective,orthotropous
cancelled,adjective,on
canned,verb,hire
capable,adjective,incapable
capital,noun,lowercase
capitalist,adjective,socialistic
capitalistic,adjective,socialistic
cardinal,adjective,ordinal
cared-for,adjective,uncared-for
careful,adjective,careless
careless,adjective,careful
carinate,noun,ratite
carnivorous,adjective,herbivorous
carpellate,adjective,acarpelous
carpeted,adjective,uncarpeted
carved,adjective,uncarved
carvel-built,adjective,clinker-built
carven,adjective,uncarved
castrated,adjective,uncastrated
catabatic,adjective,anabatic
catabolic,adjective,anabolic
cataclinal,adjective,anaclinal
catadromous,adjective,diadromous
catalectic,adjective,hypercatalectic
catarrhine,adjective,leptorrhine
catarrhinian,adjective,leptorrhine
catching,verb,unhitch
categorematic,adjective,syncategorematic
cathodic,adjective,anodic
cationic,adjective,anionic
caudal,adjective,cephalic
caudate,adjective,acaudate
caudated,adjective,acaudate
caulescent,adjective,acaulescent
cauline,adjective,acaulescent
caulked,adjective,uncaulked
causative,adjective,noncausative
cautious,noun,brave
cautious,adjective,incautious
ceilinged,adjective,floored
cellular,adjective,noncellular
cenobitic,adjective,eremitic
cenobitical,adjective,eremitic
cenogenetic,adjective,palingenetic
censored,adjective,uncensored
center,adjective,right
central,adjective,peripheral
centralised,verb,decentralize
centralised,adjective,decentralized
centralising,verb,decentralize
centralising,adjective,decentralizing
centralized,verb,decentralize
centralized,adjective,decentralized
centralizing,verb,decentralize
centralizing,adjective,decentralizing
centrifugal,adjective,centripetal
centripetal,adjective,centrifugal
cephalic,adjective,caudal
cerebral,adjective,emotional
certain,adjective,uncertain
certified,verb,decertify
certified,adjective,uncertified
chained,verb,unchain
changeable,adjective,immutable
changed,verb,stay
changed,adjective,unchanged
changeful,adjective,unchangeable
changeless,adjective,mutable
