lemma,part_of_speech,antonyms,type
eccentric,adjective,concentric,institution
elegant,adjective,inelegant,human country
emotional,adjective,cerebral|unemotional,human
empty,adjective,full,human
endemic,adjective,epidemic|cosmopolitan,country
endozoic,adjective,epizoic,animal
enterprising,adjective,unenterprising,country
entozoan,adjective,epizoic,animal
entozoic,adjective,epizoic,animal
epizoic,adjective,entozoic,animal
established,adjective,unestablished,country
estrous,adjective,anestrous,animal country
ethical,adjective,unethical,human
eupneic,adjective,breathless,country
eupnoeic,adjective,breathless,country
exact,adjective,inexact,hobby
excited,adjective,unexcited,human country
exempt,adjective,nonexempt|taxable,human
expansive,adjective,unexpansive,human
explicit,adjective,implicit,hobby
exploited,adjective,unexploited,human
explorative,adjective,nonexploratory,landscape
exploratory,adjective,nonexploratory,landscape
extramural,adjective,intramural,institution
extrospective,adjective,introspective,industry
extroverted,adjective,introspective,industry
eyed,adjective,eyeless,country
faced,adjective,faceless,country
factory-made,adjective,homemade,industry
false,adjective,true,human hobby
far,adjective,near,animal
fashionable,adjective,unfashionable|styleless,hobby
fat,adjective,thin|nonfat,hobby
feathered,adjective,unfeathered,landscape
federal,adjective,unitary,country
female,adjective,androgynous,animal
ferned,adjective,fernless,landscape
ferny,adjective,fernless,landscape
fertile,adjective,sterile,hobby
feverish,adjective,afebrile,human
fictional,adjective,nonfictional,country
figurative,adjective,literal,human animal
fine,adjective,coarse,industry
finer,adjective,coarse,industry
fingered,adjective,fingerless,country
finished,adjective,unfinished|unfinished,country
finite,adjective,infinite|infinite,human
flat,adjective,contrasty|natural,animal
fledged,adjective,unfledged,animal country
foreign,adjective,domestic|native,country
formal,adjective,informal|informal,human
former,adjective,latter,human
forward,adjective,backward|backward|reverse,human
fraternal,adjective,identical|sisterly,institution
fresh,adjective,stale|preserved|salty,establishment
friendly,adjective,unfriendly|unfriendly|hostile,country
frivolous,adjective,serious,human
fruitful,adjective,unfruitful,hobby
full-term,adjective,premature,country
future,adjective,past,country
gabled,adjective,hipped,landscape
geocentric,adjective,heliocentric,institution
glassed,adjective,unglazed,landscape
glazed,adjective,unglazed|unglazed,landscape
gloved,adjective,gloveless,landscape
granular,adjective,achondritic,landscape
gregarious,adjective,ungregarious|ungregarious,establishment animal
guided,adjective,unguided,hobby
gutsy,adjective,gutless,country
haired,adjective,hairless,landscape
hairy,adjective,hairless,landscape
hardened,adjective,untempered|soft,human
headed,adjective,unheaded|headless,country
heavy,adjective,light|light|light|light|light|light,human
heliocentric,adjective,geocentric,institution
heterodactyl,adjective,zygodactyl,animal
high,adjective,low|low|low,country
higher,adjective,low|low|low,country
highland,adjective,lowland,country landscape
hipped,adjective,hipless|gabled,country
hirsute,adjective,hairless,landscape
holozoic,adjective,holophytic,animal
home,adjective,away,country
homocentric,adjective,eccentric,institution
homocercal,adjective,heterocercal,animal
hopeless,adjective,hopeful,human
hostile,adjective,amicable|friendly,establishment country
hot,adjective,cold|cold,country
human,adjective,nonhuman,human animal
humane,adjective,inhumane,human industry
hypertonic,adjective,hypotonic|hypotonic,country
ill-defined,adjective,well-defined,country
immature,adjective,mature|old|ripe|mature|fledged,human animal
impersonal,adjective,personal,human
impossible,adjective,possible,human
impure,adjective,pure|pure|clean,human
incapable,adjective,capable|capable,country
incidental,adjective,basic,establishment
inclement,adjective,clement|clement,human
inclusive,adjective,exclusive,country
incontinent,adjective,continent,country
indecent,adjective,decent,institution
indecorous,adjective,decorous,institution
indefinite,adjective,definite,country
indeterminate,adjective,determinate|determinate,country
indirect,adjective,direct|lineal|direct,human country
individual,adjective,common,human
infinite,adjective,finite|finite,human
inner,adjective,outer,institution
innocent,adjective,guilty,country
innocuous,adjective,noxious,country
insectivorous,adjective,carnivorous,animal
insensate,adjective,sentient,human
insensitive,adjective,sensitive|sensitive,human
inside,adjective,outside,institution
insoluble,adjective,soluble|soluble,country
institutional,adjective,noninstitutional,institution
institutionalised,adjective,noninstitutionalized,institution
institutionalized,adjective,noninstitutionalized,institution
insured,adjective,uninsured,landscape
intangible,adjective,tangible|tangible,establishment
integrated,adjective,nonintegrated|segregated,establishment institution
intellectual,adjective,nonintellectual|emotional,human
intelligent,adjective,unintelligent,country
intemperate,adjective,temperate|temperate,human
intercontinental,adjective,continental,country
interdepartmental,adjective,intradepartmental,institution
interested,adjective,uninterested,country
interior,adjective,exterior,country institution
intermediate,adjective,terminal,country
internal,adjective,external,country institution
international,adjective,national,country
interstate,adjective,intrastate,country
intradepartmental,adjective,interdepartmental,institution
intramural,adjective,extramural,institution
intrastate,adjective,interstate,country
introspective,adjective,extrospective,industry
introverted,adjective,extrospective,industry
involved,adjective,uninvolved,human institution
inward,adjective,outward,institution
irrecoverable,adjective,recoverable,landscape
irregular,adjective,regular|regular|regular,human industry
jawed,adjective,jawless,animal
jawless,adjective,jawed,animal
jumpy,adjective,smooth,country
junior,adjective,senior,human institution
kind,adjective,unkind,human
landed,adjective,landless,country
last,adjective,first,country
late,adjective,early|early|early,human
later,adjective,early|early|early|early,human
latest,adjective,early|early|early,human
latter,adjective,former,human
lawful,adjective,unlawful,hobby
leafy,adjective,leafless,landscape
leavened,adjective,unleavened,hobby
legitimate,adjective,illegitimate,country hobby
lengthways,adjective,crosswise,hobby
lengthwise,adjective,crosswise,hobby
lentic,adjective,lotic,landscape
licit,adjective,illicit,hobby
lidded,adjective,lidless,country landscape
lidless,adjective,lidded,landscape
light,adjective,heavy|dark|heavy|heavy|heavy|dark|heavy|heavy,human
like,adjective,unlike|unlike|unalike,country
limbed,adjective,limbless,country
lined,adjective,unlined,country
liquid,adjective,gaseous|unmelted,country
liquified,adjective,unmelted,country
little,adjective,large|big|much|tall,animal
littler,adjective,large|big|much|tall,animal
live,adjective,recorded|dead|dead,country
loaded,adjective,unloaded,country
local,adjective,national|general,country
logical,adjective,illogical|incoherent,country
loose,adjective,compact|tight|affixed,human
lost,adjective,found|saved|won,human country landscape
low-class,adjective,middle-class,institution
lower-class,adjective,middle-class,institution
lowland,adjective,upland,country
loyal,adjective,disloyal|unpatriotic,country
lyric,adjective,dramatic,human
made,adjective,unmade,industry
maladjusted,adjective,adjusted,human
male,adjective,female,animal
manlike,adjective,unmanly,human
manual,adjective,automatic,human
marked,adjective,unmarked,country
married,adjective,unmarried,country
mature,adjective,immature|immature|green|unfledged,animal country
mechanical,adjective,nonmechanical,hobby industry
medullated,adjective,unmyelinated,landscape
melted,adjective,unmelted,country
membered,adjective,memberless,country
migratory,adjective,nonmigratory,animal
mindless,adjective,mindful,country
mobile,adjective,immobile,country industry
moderate,adjective,immoderate,hobby
modest,adjective,immodest|immodest,country
molar,adjective,molecular,human animal
molecular,adjective,molar,establishment institution
monecious,adjective,dioecious,animal
monoecious,adjective,dioecious,animal
monoicous,adjective,dioecious,animal
monophonic,adjective,polyphonic,industry
moral,adjective,immoral,human
moved,adjective,unmoved,human
moving,adjective,nonmoving|unmoving|still,human
multivalent,adjective,univalent|monovalent,institution
muscular,adjective,ectomorphic,human
mutual,adjective,nonreciprocal,human
myelinated,adjective,unmyelinated,landscape
naif,adjective,sophisticated,country
naive,adjective,sophisticated,country
narrow,adjective,wide|broad-minded|wide,country
nasty,adjective,nice,human
national,adjective,international|local,human country
native,adjective,foreign|adopted|nonnative,human country
natural,adjective,unnatural|artificial|supernatural|sharp,hobby
necked,adjective,neckless,country
neurotic,adjective,unneurotic,human
neutral,adjective,positive|chromatic,human
new,adjective,old|worn,landscape
nidicolous,adjective,nidifugous,animal
nidifugous,adjective,nidicolous,animal
nominal,adjective,real,human
non-conducting,adjective,conductive,country
non-finite,adjective,finite,human
nonadsorbent,adjective,adsorbent,country
nonadsorptive,adjective,adsorbent,country
nonarbitrary,adjective,arbitrary,country
noncivilised,adjective,civilized,country
noncivilized,adjective,civilized,country
noncombinative,adjective,combinative,country
noncommissioned,adjective,commissioned,human
nonconcentric,adjective,concentric,institution
nonconducting,adjective,conductive,country
nonconductive,adjective,conductive,country
nonconformist,adjective,conformist,human
noncritical,adjective,critical|critical|critical,country
noncrucial,adjective,crucial|critical,country
nonexempt,adjective,nontaxable|exempt,human
nonhuman,adjective,human,human
nonindustrial,adjective,industrial,industry
noninstitutional,adjective,institutional,institution
noninstitutionalised,adjective,institutionalized,institution
noninstitutionalized,adjective,institutionalized,institution
nonjudgmental,adjective,judgmental,human
nonmechanical,adjective,mechanical,human
nonmigratory,adjective,migratory,animal
nonnative,adjective,native,human animal country
nonpasserine,adjective,passerine,animal
nonsectarian,adjective,sectarian,institution
nonsubjective,adjective,subjective,human
normal,adjective,abnormal|paranormal|abnormal,hobby
northern,adjective,southern|southern,country
objective,adjective,subjective,human
obstinate,adjective,docile,hobby
off,adjective,on|on,country industry
off-line,adjective,on-line|on-line,industry
official,adjective,unofficial,country institution
old,adjective,young|new,human
older,adjective,young|new,human
omnivorous,adjective,insectivorous,animal
one-sided,adjective,reversible|multilateral,human
open,adjective,shut|closed|closed|closed|unreceptive|covert,establishment landscape
optional,adjective,obligatory,human
oral,adjective,aboral|anal,animal country
orientated,adjective,unoriented,country
orientating,adjective,disorienting,industry
oriented,adjective,unoriented,country
orienting,adjective,disorienting,industry
outer,adjective,inner|safe,institution
owned,adjective,unowned,country
packaged,adjective,unpackaged,landscape
painted,adjective,unpainted|unpainted,hobby
paranormal,adjective,sensory|normal,hobby
passerine,adjective,nonpasserine,animal
passing,adjective,running,country
passionate,adjective,passionless,human
past,adjective,present,human
patriarchal,adjective,matriarchal,establishment institution
patriotic,adjective,unpatriotic,country
paved,adjective,unpaved,landscape
personal,adjective,impersonal,human
plantigrade,adjective,digitigrade,human animal
platyrhine,adjective,catarrhine,human
platyrhinian,adjective,catarrhine,human
platyrrhine,adjective,catarrhine,human
platyrrhinian,adjective,catarrhine,human
platyrrhinic,adjective,catarrhine,human
pleasant,adjective,unpleasant,human
plucky,adjective,gutless,country
polite,adjective,impolite|uncivil,human industry
poor,adjective,rich|rich|rich,industry
popular,adjective,unpopular,human
potted,adjective,unpotted,landscape
powered,adjective,unpowered,country
powerful,adjective,powerless,human
preceding,adjective,succeeding,human
precocial,adjective,altricial,landscape
prejudiced,adjective,unprejudiced,human
private,adjective,public,human
proactive,adjective,retroactive,human
processed,adjective,unrefined|unprocessed,country
profound,adjective,superficial,human
progressive,adjective,regressive|regressive,hobby
proper,adjective,improper,human
provincial,adjective,cosmopolitan,human
psychoneurotic,adjective,unneurotic,human
public,adjective,private,human
punished,adjective,unpunished,human
pure,adjective,impure|unsaturated|impure,human country
racial,adjective,nonracial,human
rational,adjective,irrational|irrational,human
real,adjective,unreal|unreal|nominal|insubstantial,country
reciprocal,adjective,nonreciprocal,human
recorded,adjective,live,industry
recoverable,adjective,unrecoverable,landscape
refined,adjective,unrefined|unrefined,human
registered,adjective,unregistered|unregistered,animal institution
regressive,adjective,progressive|progressive,country
