lemma,part_of_speech,antonyms
antipyretic,adjective,pyretic
antiseptic,adjective,septic
antonymous,adjective,synonymous
antrorse,adjective,retrorse
aperiodic,adjective,periodic
apetalous,adjective,petalous
aphrodisiac,adjective,anaphrodisiac
aphrodisiacal,adjective,anaphrodisiac
aplacental,adjective,placental
apocarpous,adjective,syncarpous
apocrine,adjective,eccrine
apologetic,adjective,unapologetic
appealable,adjective,unappealable
appealing,adjective,unappealing|unsympathetic
appendaged,adjective,unappendaged
appetising,adjective,unappetizing
appetizing,adjective,unappetizing
applied,adjective,theoretical
appointed,adjective,elective
appointive,adjective,elective
apposable,adjective,unopposable
approachable,adjective,unapproachable
appropriate,adjective,inappropriate
apropos,adjective,malapropos
apteral,adjective,peripteral
aquatic,adjective,terrestrial
aqueous,adjective,igneous
arbitrable,adjective,nonarbitrable
arbitrary,adjective,nonarbitrary
arboreal,adjective,nonarboreal
arboreous,adjective,nonarboreal
arenaceous,adjective,argillaceous
argillaceous,adjective,arenaceous
argumentative,adjective,unargumentative
armed,adjective,unarmed|armless|unarmed
armless,adjective,armed
armored,adjective,unarmored|unarmored
armoured,adjective,unarmored|unarmored
arranged,adjective,disarranged
artesian,adjective,subartesian
artful,adjective,ingenuous|artless
articulate,adjective,inarticulate|unarticulated
articulated,adjective,unarticulated
artificial,adjective,natural
artless,adjective,disingenuous|artful
ascending,adjective,descending
asexual,adjective,sexual
ashamed,adjective,unashamed
asleep,adjective,awake
asserting,adjective,interrogative|interrogatory
assertive,adjective,unassertive
assigned,adjective,unassigned
assisted,adjective,unassisted
associative,adjective,nonassociative
associatory,adjective,nonassociative
astigmatic,adjective,anastigmatic
astomatous,adjective,stomatous
astringent,adjective,nonastringent
asymmetric,adjective,symmetrical
asymmetrical,adjective,symmetrical
asynchronous,adjective,synchronous|synchronous
asyndetic,adjective,syndetic
atomic,adjective,conventional
atomistic,adjective,holistic
atomistical,adjective,holistic
atonal,adjective,tonal
atonic,adjective,tonic
atoxic,adjective,toxic
atrophied,adjective,hypertrophied
attachable,adjective,detachable
attached,adjective,detached|unattached
attended,adjective,unaccompanied
attentive,adjective,inattentive|heedless
attractive,adjective,unattractive|repulsive
attributable,adjective,unattributable
attributive,adjective,predicative
atypical,adjective,typical
audible,adjective,inaudible
auspicious,adjective,inauspicious
authorised,adjective,unauthorized
authorized,adjective,unauthorized
autochthonous,adjective,allochthonous
autoecious,adjective,heteroecious
autogamic,adjective,endogamous
autogamous,adjective,endogamous
autogenic,adjective,heterogenous
autogenous,adjective,heterogenous
autologous,adjective,homologous
automatic,adjective,manual
autophytic,adjective,heterotrophic
autotrophic,adjective,heterotrophic
autumnal,adjective,wintry
available,adjective,unavailable
avascular,adjective,vascular
avenged,adjective,unavenged
avertable,adjective,inevitable
avertible,adjective,inevitable
avirulent,adjective,virulent
avoidable,adjective,inevitable
awake,adjective,asleep
awakened,adjective,unawakened
aware,adjective,unaware|unmindful
away,adjective,home
awed,adjective,unawed
awestricken,adjective,unawed
awestruck,adjective,unawed
awful,adjective,nice
awkward,adjective,graceful
awned,adjective,awnless
awnless,adjective,awned
awny,adjective,awnless
azonal,adjective,zonal
back,adjective,front
backed,adjective,backless
backhand,adjective,forehand
backhanded,adjective,forehand
backless,adjective,backed
backward,adjective,forward|forward
bad,adjective,good|unregretful
balanced,adjective,unbalanced
balconied,adjective,unbalconied
banded,adjective,unbanded
baptised,adjective,unbaptized
baptized,adjective,unbaptized
bare,adjective,sheathed|covered
barreled,adjective,unbarreled
barrelled,adjective,unbarreled
basal,adjective,cauline
basic,adjective,incidental
basipetal,adjective,acropetal
basiscopic,adjective,acroscopic
beaked,adjective,beakless
beakless,adjective,beaked
bearing,adjective,nonbearing
beautiful,adjective,ugly
bedded,adjective,unstratified|bedless
bedless,adjective,bedded
believable,adjective,incredible
bellied,adjective,bellyless
bellyless,adjective,bellied
belted,adjective,unbelted
beltless,adjective,belted
beneficed,adjective,unbeneficed
beneficent,adjective,maleficent
benign,adjective,malignant|malign
benignant,adjective,malign
beseeching,adjective,imperative
best,adjective,worst|bad|evil
better,adjective,worse|worse|bad|evil|ill
bettering,adjective,worsening
biaural,adjective,monaural
bibbed,adjective,bibless
bibless,adjective,bibbed
bicameral,adjective,unicameral
bidirectional,adjective,unidirectional
biennial,adjective,perennial
big,adjective,small|little
bigger,adjective,small|little
bilaterally symmetrical,adjective,actinomorphic
bimodal,adjective,unimodal
binaural,adjective,monaural
binuclear,adjective,trinucleate
binucleate,adjective,trinucleate
binucleated,adjective,trinucleate
biological,adjective,adoptive
biovular,adjective,identical
biped,adjective,quadrupedal|quadruped
bipedal,adjective,quadrupedal|quadruped
bipolar,adjective,unipolar
bisexual,adjective,heterosexual
bivalent,adjective,multivalent
bivalve,adjective,univalve
bivalved,adjective,univalve
black,adjective,white|white
black-and-white,adjective,color
black and white,adjective,color
blemished,adjective,unblemished
blended,adjective,unblended
blessed,adjective,cursed
blest,adjective,cursed
blind,adjective,sighted
blond,adjective,brunet
blonde,adjective,brunet
bloodless,adjective,bloody
bloody,adjective,bloodless
blue-collar,adjective,white-collar
bodied,adjective,unbodied
bold,adjective,timid
boneless,adjective,bony
boney,adjective,boneless
bony,adjective,boneless
bordered,adjective,unbordered
born,adjective,unborn
bottle-fed,adjective,breast-fed
bottom,adjective,side
bottom-up,adjective,top-down
bottomed,adjective,bottomless
bottomless,adjective,bottomed
bound,adjective,unbound|free|unbound
bowed,adjective,plucked
brachycephalic,adjective,dolichocephalic
brachycranial,adjective,dolichocephalic
brachycranic,adjective,dolichocephalic
bracteate,adjective,ebracteate
bracted,adjective,ebracteate
brainwashed,adjective,unbrainwashed
branchiate,adjective,abranchiate
branchless,adjective,branchy
branchy,adjective,branchless
branded,adjective,unbranded
brave,adjective,cowardly
breakable,adjective,unbreakable
breast-fed,adjective,bottle-fed
breasted,adjective,breastless
breastless,adjective,breasted
breathing,adjective,breathless
breathless,adjective,breathing
bridgeable,adjective,unbridgeable
bright,adjective,dull|dimmed
broad,adjective,narrow
broad-minded,adjective,shockable|narrow-minded
broadnosed,adjective,catarrhine
broken,adjective,unbroken|unbroken|unbroken
brotherlike,adjective,sisterly
brotherly,adjective,sisterly
brunet,adjective,blond
brunette,adjective,blond
bulging,adjective,concave
bumpy,adjective,smooth
burdened,adjective,unburdened
buried,adjective,unburied
busy,adjective,idle
buttoned,adjective,unbuttoned
cacogenic,adjective,eugenic
cacophonic,adjective,euphonious
cacophonous,adjective,euphonious
caducous,adjective,persistent
calced,adjective,discalced
calcicolous,adjective,calcifugous
calcifugous,adjective,calcicolous
calculable,adjective,incalculable
calm,adjective,stormy
caloric,adjective,nonthermal
camphorated,adjective,uncamphorated
campylotropous,adjective,orthotropous
cancelled,adjective,on
capable,adjective,incapable|incapable
capitalist,adjective,socialistic
capitalistic,adjective,socialistic
cardinal,adjective,ordinal
cared-for,adjective,uncared-for
careful,adjective,careless
careless,adjective,careful
carnivorous,adjective,herbivorous
carpellate,adjective,acarpelous
carpeted,adjective,uncarpeted
carved,adjective,uncarved
carvel-built,adjective,clinker-built
carven,adjective,uncarved
castrated,adjective,uncastrated
catabatic,adjective,anabatic
catabolic,adjective,anabolic
cataclinal,adjective,anaclinal
catadromous,adjective,diadromous
